resp,AGE,CRED,INCOME,MILEAGE,GENDER,MRTGI
0,20,563,20,13.382,0,1
0,19,583,20,18.562,0,NA
0,20,563,20,4.843,0,0
1,19,582,20,0.458,1,0
0,19,554,20,13.285,1,0
0,19,572,20,11.611,1,0
0,19,568,20,14.776,1,0
0,19,633,20,1.3,1,1
0,18,633,20,14.094,0,0
0,19,621,20,14.213,1,0
0,19,609,20,2.396,0,0
1,18,621,20,19.045,0,0
0,18,609,20,11.262,1,0
0,18,633,20,7.958,0,0
1,18,628,20,18.596,1,NA
0,19,634,20,19.807,1,0
0,18,627,20,10.915,1,1
0,19,668,20,11.513,1,0
0,18,661,20,10.441,1,0
0,20,664,20,5.503,1,1
0,20,672,20,9.728,0,0
0,19,650,20,19.715,0,1
0,20,697,30,8.706,1,0
0,19,686,20,11.6,1,1
0,18,730,20,14.265,1,0
0,21,430,20,7.486,0,0
0,23,452,30,8.746,1,0
1,21,390,30,5.296,1,0
0,24,436,30,13.294,0,0
0,24,401,20,19.762,1,1
0,24,324,30,17.769,1,1
0,24,495,20,5.428,0,NA
0,25,491,40,7.813,0,0
0,22,420,20,16.411,1,1
0,23,519,30,18.413,1,0
0,21,419,30,15.116,0,0
0,24,512,20,15.733,0,1
0,20,450,30,16.328,1,0
1,21,379,20,15.315,1,NA
0,23,391,20,17.32,1,1
0,21,390,50,13.746,0,1
0,24,440,20,9.079,1,0
1,24,504,40,16.582,0,0
0,22,541,20,10.442,0,0
0,25,403,40,0.615,1,0
0,21,500,20,13.962,1,0
0,25,381,20,17.563,0,0
0,21,368,20,12.824,1,0
0,25,417,20,19.778,0,0
0,24,448,30,16.232,0,1
1,24,467,30,17.919,1,1
0,23,323,20,17.068,1,1
0,25,483,20,2.367,0,0
0,24,354,20,16.073,1,0
1,24,406,40,17.949,1,0
0,23,431,30,16.463,1,NA
0,21,484,30,12.729,0,1
0,23,519,20,4.646,1,1
0,21,444,20,11.693,1,0
0,21,428,20,1.924,1,0
0,24,434,30,0.81,0,0
0,25,442,30,16.783,1,1
0,22,469,40,7.976,1,1
0,24,354,20,11.697,0,0
0,25,416,20,12.346,0,1
0,22,539,30,18.677,1,0
0,23,447,30,10.495,1,1
0,22,463,20,10.135,1,0
0,22,377,20,14.058,1,0
0,24,386,20,14.837,0,0
0,25,409,30,9.684,0,NA
0,22,305,30,3.337,1,1
0,24,363,40,10.55,1,1
0,23,382,20,19.318,0,0
0,22,542,30,8.48,0,0
0,22,384,20,0.671,1,0
1,20,340,20,8.43,1,0
1,22,545,20,13.665,1,0
0,21,523,30,16.196,1,0
0,23,511,30,7.009,1,0
0,23,419,30,3.131,1,1
0,21,508,30,19.702,0,1
0,23,549,30,9.418,1,NA
0,22,458,40,10.33,1,1
0,22,530,20,4.588,1,0
1,23,427,30,6.209,1,0
0,21,504,20,16.769,1,0
0,24,421,20,8.191,0,0
0,25,334,20,4.346,1,0
0,22,418,60,10.609,1,1
1,23,474,30,18.475,0,0
0,23,420,40,11.831,0,NA
0,21,494,30,13.631,1,1
0,23,429,30,12.807,1,1
1,20,361,20,17.506,1,NA
0,24,542,30,4.762,1,0
0,23,315,20,14.889,0,1
1,21,318,20,5.536,0,0
0,23,441,30,15.305,1,0
0,23,442,30,14.322,1,0
0,22,414,20,11.64,0,0
0,24,504,30,9.101,1,0
0,21,412,20,17.401,0,0
0,23,354,30,3.51,0,1
0,24,501,20,12.664,1,0
0,23,413,20,13.696,0,1
0,25,354,20,13.41,1,1
0,20,325,20,0.147,1,0
0,22,452,20,14.649,1,0
1,20,585,20,13.292,0,0
0,21,591,30,1.018,1,0
0,24,551,50,12.43,1,0
0,24,580,50,14.469,1,NA
0,23,579,30,12.264,0,0
0,24,584,20,7.459,0,1
0,20,589,30,8.68,1,0
1,21,581,20,12.087,1,0
0,24,567,20,2.051,0,0
0,22,582,30,12.894,1,1
0,23,575,30,19.42,0,0
0,22,584,40,19.695,0,1
0,25,565,30,18.684,1,0
0,21,558,20,12.957,0,1
0,24,582,30,17.108,1,0
0,24,564,20,6.612,1,0
1,24,594,30,10.93,0,0
0,20,570,30,17.878,0,0
0,24,581,20,19.992,0,0
0,21,582,20,16.373,1,1
1,24,580,30,5.931,1,0
0,22,571,30,18.14,0,0
0,23,564,20,15.499,1,1
0,20,580,20,14.695,0,0
0,21,556,20,7.482,1,1
0,23,598,20,13.581,0,1
0,21,577,30,14.615,0,1
0,22,569,30,10.285,0,1
0,24,559,20,4.601,1,0
1,21,556,20,12.905,1,1
0,21,559,50,12.22,1,0
1,20,556,30,18.828,1,1
0,20,552,20,8.054,0,1
0,25,556,30,0.476,1,0
1,23,567,60,12.506,1,0
0,22,575,30,10.08,1,1
1,24,584,20,3.485,1,1
0,21,580,40,15.075,0,0
0,22,580,30,5.583,0,1
0,22,580,20,15.887,0,0
0,20,570,20,14.475,0,1
0,25,580,30,4.619,0,1
0,22,593,20,10.688,0,1
0,22,583,30,14.148,0,0
0,24,572,20,17.492,0,1
0,25,562,30,18.309,0,1
0,21,596,30,9.133,1,1
0,21,584,20,11.007,0,0
0,24,579,30,10.41,1,1
0,23,587,30,4.047,0,0
0,21,585,30,13.779,1,1
0,24,555,20,10.913,1,0
0,25,574,20,8.24,0,0
0,21,570,30,16.525,1,1
0,24,590,30,16.001,0,1
0,21,571,50,19.729,1,0
0,21,564,30,10.155,1,0
0,24,574,20,4.842,1,1
0,22,573,50,7.47,1,0
0,21,580,20,10.972,1,0
0,23,596,30,12.854,0,NA
0,20,556,30,15.548,1,1
1,22,563,20,1.4,0,1
0,21,589,30,14.117,1,NA
0,24,571,20,13.057,1,1
1,22,573,30,13.078,1,0
1,21,559,30,16.078,0,0
0,24,576,20,17.823,0,1
0,21,565,20,14.16,1,1
1,24,584,40,17.501,1,0
0,21,584,30,19.547,0,0
0,21,574,20,13.948,1,0
0,23,587,30,19.214,1,1
0,22,594,30,6.76,1,0
0,22,576,30,2.112,1,0
0,22,565,20,2.339,1,1
0,23,586,30,6.543,0,0
0,24,553,20,9.953,0,1
0,21,574,20,6.256,1,0
0,25,571,20,9.265,1,0
0,21,575,20,13.455,1,0
1,23,550,40,15.011,0,1
0,22,587,30,15.769,1,0
0,20,569,20,11.464,0,0
0,23,610,20,4.397,1,1
0,25,624,30,12.674,1,0
1,21,621,20,6.525,1,1
0,23,619,30,12.58,1,0
0,23,601,20,3.311,1,NA
0,23,619,30,15.73,1,0
0,21,620,20,1.114,1,1
0,21,627,30,8.106,0,1
0,21,620,30,13.948,1,0
0,23,634,30,15.774,0,0
1,22,618,20,18.616,0,0
0,23,618,30,6.558,0,0
0,22,603,30,19.291,0,0
0,22,619,30,19.323,0,1
0,21,624,20,4.646,0,0
0,24,604,30,18.144,1,0
0,22,631,30,16.468,1,0
0,25,622,20,3.988,0,0
0,24,612,40,14.361,0,0
0,22,622,20,5.293,0,0
0,20,601,40,13.374,1,1
0,24,619,30,14.358,1,0
0,25,616,30,12.79,0,0
0,25,613,20,13.613,1,0
0,21,623,30,4.033,1,0
0,21,654,30,18.688,0,0
0,22,662,30,2.547,1,0
0,21,640,20,13.534,1,0
0,23,671,20,13.404,1,0
0,22,647,20,14.983,1,1
0,24,667,20,17.929,1,1
0,22,664,20,4.429,0,0
1,22,659,30,12.641,1,0
0,22,709,30,1.108,0,NA
0,25,714,30,13.951,1,0
0,22,683,30,6.962,0,1
0,23,689,20,19.237,1,0
0,25,732,20,11.588,0,1
1,22,746,20,4.936,1,1
0,24,936,20,18.438,0,0
0,24,966,40,19.118,1,1
0,26,442,50,13.14,0,0
0,28,320,20,15.406,1,1
0,29,379,20,13.157,1,0
0,26,346,40,15.827,1,1
0,26,448,40,13.815,1,0
0,27,457,30,14.29,1,1
0,26,433,50,0.502,1,1
0,26,331,40,14.454,0,0
0,27,348,50,7.238,1,1
0,29,422,40,4.742,1,1
0,30,430,50,15.346,0,0
0,29,419,30,12.912,1,0
0,27,466,50,0.504,0,0
0,27,347,20,3.656,1,0
0,26,380,40,5.883,1,0
0,27,544,40,9.63,1,1
0,27,454,30,6.542,1,0
0,28,396,30,14.149,1,1
0,29,422,40,5.64,1,0
0,27,406,40,12.84,1,1
0,29,534,40,2.517,1,1
0,26,327,40,7.547,1,0
1,28,472,50,15.365,1,0
0,27,452,20,12.242,1,0
0,25,304,30,3.449,0,1
0,30,324,40,5.775,0,NA
0,25,546,20,13.377,0,1
1,30,485,40,14.429,0,0
0,29,449,30,19.11,1,1
1,27,388,20,19.112,0,0
0,26,479,30,12.835,1,1
0,29,488,50,16.976,1,0
1,28,343,30,1.53,1,1
0,28,340,30,19.623,1,0
0,29,530,40,17.146,1,0
0,30,499,40,0.003,1,0
0,26,472,30,12.323,1,0
0,27,416,50,2.001,1,0
0,26,515,50,18.826,0,1
0,27,489,60,14.653,1,0
0,30,511,30,9.043,1,0
0,25,446,30,3.631,0,0
0,27,452,50,3.024,1,0
0,26,453,50,19.403,0,0
0,26,431,30,19.42,1,0
0,26,446,40,10.748,0,1
0,26,533,50,11.972,0,1
1,28,460,20,10.16,0,0
0,29,389,40,10.028,1,1
0,26,544,40,9.761,1,0
1,30,465,50,9.126,0,1
0,28,520,40,15.039,1,0
0,30,450,50,10.154,0,0
0,28,448,50,13.105,0,1
0,28,369,40,11.565,1,0
1,28,367,40,17.609,1,1
0,29,354,40,19.106,1,0
0,27,388,40,3.703,1,0
1,27,377,60,4.763,0,0
0,28,510,40,16.581,0,0
0,27,464,20,3.268,0,0
0,29,449,20,5.934,1,1
0,29,384,40,2.467,1,1
0,26,309,50,18.09,0,0
1,25,391,60,2.954,1,0
0,30,526,20,14.447,1,0
0,27,347,50,14.304,0,0
0,29,368,40,18.44,0,0
0,25,529,50,17.688,1,NA
1,28,318,40,17.432,1,0
0,26,503,50,4.303,1,1
0,29,413,40,0.6,1,0
0,30,544,30,12.106,1,0
0,26,382,40,3.083,0,0
0,25,435,50,16.19,0,1
0,29,363,20,7.929,1,0
0,26,345,30,12.275,1,0
0,28,411,50,10.345,0,1
0,28,398,50,14.454,0,NA
0,25,379,30,6.045,0,0
0,28,463,30,8.352,0,0
0,29,527,20,13.753,0,1
0,27,352,40,15.433,0,0
0,25,436,40,11.738,1,0
0,29,543,30,11.827,0,1
0,26,386,40,2.37,0,0
0,28,317,20,2.764,1,1
0,26,325,110,15.322,1,1
0,28,541,20,10.317,1,0
0,25,375,70,22.827,1,0
0,25,545,30,16.832,0,0
0,28,338,30,14.152,0,0
0,25,526,40,17.192,1,1
0,28,418,40,2.734,1,1
0,30,331,20,14.913,1,0
0,27,310,50,19.804,1,1
1,29,399,40,16.137,1,0
1,25,336,30,13.422,0,0
0,30,382,40,18.151,1,1
0,27,409,20,14.642,1,0
0,26,492,50,14.142,1,0
0,28,383,50,1.594,0,0
0,29,459,40,17.639,0,0
0,25,307,20,19.113,1,NA
0,26,349,50,14.481,1,0
0,29,515,70,13.272,0,0
0,26,514,60,10.821,1,0
1,26,363,60,12.881,0,0
1,27,329,40,11.831,0,0
0,26,475,50,19.649,1,1
1,27,535,30,14.892,0,0
0,29,465,50,7.616,0,0
0,26,329,50,16.781,1,0
0,27,423,30,18.556,1,1
1,29,328,40,13.814,0,1
0,26,488,50,11.476,1,1
0,26,392,40,12.781,1,0
0,30,433,30,6.344,1,1
0,27,354,40,0.732,1,0
0,27,304,40,16.236,0,0
0,27,461,70,11.4,1,1
0,29,514,30,1.97,1,0
1,25,524,60,8.156,1,0
0,26,409,50,7.582,1,0
0,28,347,20,10.355,0,0
0,27,507,30,18.323,0,1
0,29,433,30,13.163,0,0
0,29,375,50,1.082,1,NA
0,29,443,40,12.455,0,1
0,29,433,30,11.95,1,1
0,29,320,40,14.612,0,0
0,28,349,60,9.155,1,1
0,26,332,40,8.285,0,1
0,28,393,50,6.766,0,1
0,26,513,40,3.684,1,0
0,26,417,20,13.492,1,1
1,28,488,30,13.313,1,1
0,25,405,50,10.718,1,1
0,29,472,30,7.957,1,0
0,26,390,20,11.388,0,1
0,26,511,50,14.463,1,0
0,25,524,50,12.465,1,0
1,26,483,40,5.612,0,0
0,26,391,40,17.927,1,1
0,26,535,40,16.518,1,NA
0,29,394,40,6.29,0,NA
0,27,306,40,1.582,1,0
0,27,447,20,17.969,0,1
0,30,512,40,7.236,1,1
0,28,345,20,8.863,0,0
0,26,483,20,9.64,1,1
0,29,523,30,12.798,1,0
0,28,327,20,6.388,1,1
0,28,501,60,12.88,1,1
0,29,379,40,10.34,1,1
0,26,535,20,13.043,1,0
0,27,492,30,13.491,1,0
1,28,446,20,2.652,0,0
0,29,520,50,15.571,1,0
0,29,374,40,9.662,1,0
0,28,452,110,15.521,1,0
0,27,496,20,0.41,1,1
1,30,408,30,7.643,1,0
0,28,397,40,9.076,1,0
0,27,408,70,11.077,0,0
0,30,474,40,13.799,0,0
0,29,459,40,16.773,1,1
1,27,410,30,17.276,1,NA
1,27,316,70,17.154,1,0
0,26,339,30,5.783,1,0
1,29,401,60,2.454,0,0
0,28,522,30,11.654,1,0
0,28,321,40,16.858,0,0
1,27,428,20,6.066,1,1
1,26,478,40,15.017,1,1
1,26,410,30,18.875,1,0
1,26,369,30,16.836,0,0
0,26,391,110,13.749,0,0
0,25,471,20,17.393,0,1
0,26,499,40,2.127,0,0
0,29,360,20,16.42,1,1
0,26,524,40,19.841,1,0
0,27,377,40,17.747,1,0
0,29,418,50,15.503,0,0
0,26,417,20,11.616,1,0
0,25,326,60,19.052,1,1
0,28,343,40,15.503,1,1
0,26,386,60,10.198,0,0
0,26,472,50,12.276,0,1
0,28,301,40,5.815,0,0
0,25,378,30,16.67,1,0
1,29,355,30,3.383,0,1
1,29,528,20,19.437,0,0
0,27,465,20,4.511,0,0
1,30,301,20,13.67,0,0
0,28,437,70,14.968,1,1
1,27,434,40,18.855,1,0
1,29,468,20,18.665,0,1
0,26,441,20,17.586,1,0
0,25,361,40,0.41,1,NA
0,27,491,20,18.631,0,0
0,27,470,30,17.671,0,0
1,29,487,60,12.605,0,0
0,29,456,20,14.415,1,0
0,27,519,50,7.111,0,0
0,28,300,20,16.298,1,0
0,25,469,40,16.205,0,0
0,29,494,50,11.279,1,1
0,26,527,30,15.202,0,0
0,26,512,30,13.986,1,1
0,26,517,40,1.368,1,1
0,27,463,50,13.07,1,NA
0,27,479,30,13.184,1,1
0,28,352,30,15.757,0,0
0,29,451,20,14.688,0,0
0,28,537,40,10.885,1,NA
0,25,379,20,12.044,1,NA
0,28,423,50,0.329,0,0
0,27,384,40,16.192,1,0
0,26,413,50,9.191,1,1
0,27,314,50,17.792,1,0
1,28,400,70,18.697,1,0
0,26,447,60,7.79,1,0
0,25,351,40,19.994,1,0
0,29,385,30,15.413,0,0
0,26,461,20,14.17,0,0
0,27,394,30,19.77,1,0
0,27,464,20,0.213,0,0
0,29,490,40,4.91,1,0
0,26,529,30,14.724,1,1
0,29,352,20,5.1,0,1
0,27,458,30,1.628,0,0
0,30,392,20,4.314,0,1
0,26,456,30,10.612,0,0
0,29,322,50,12.279,1,1
0,27,335,40,14.856,0,1
0,30,394,40,10.659,1,NA
0,28,360,20,2.523,0,1
0,27,513,20,18.173,0,1
0,26,465,50,0.948,1,1
0,30,540,40,17.406,1,0
0,26,411,40,12.155,0,0
0,26,345,40,13.142,1,0
0,26,331,60,10.922,0,1
0,25,348,50,16.368,0,0
0,30,516,20,1.754,1,1
1,27,422,20,17.097,1,1
0,27,378,40,11.693,0,0
1,25,524,40,10.965,0,0
1,29,384,40,10.922,0,0
0,26,365,40,12.21,0,0
0,26,537,20,12.843,1,NA
0,28,419,50,14.521,1,1
1,26,348,30,16.65,1,0
0,27,314,50,2.556,0,0
0,30,444,50,13.448,1,NA
0,25,532,50,5.533,0,1
0,26,416,40,15.67,0,0
0,29,502,40,1.509,1,0
0,26,347,20,16.295,1,1
0,29,400,40,4.752,1,1
0,29,454,20,15.69,1,0
1,26,469,20,1.758,1,0
0,28,418,30,10.114,0,1
0,25,472,30,2.633,0,0
0,27,350,60,3.065,1,0
0,28,477,40,15.318,1,0
0,25,419,40,1.85,1,0
0,28,382,30,18.393,0,0
0,30,405,50,0.077,0,0
0,28,401,30,12.848,1,1
0,29,459,50,12.766,0,0
0,29,305,50,12.929,1,0
0,30,416,40,12.557,1,0
0,28,436,40,19.78,0,0
0,28,309,20,13.648,0,1
0,27,392,20,19.392,0,NA
0,28,488,70,10.205,0,1
0,25,424,30,18.745,0,0
0,29,524,30,10.863,0,1
0,25,499,20,12.255,0,1
0,29,364,40,17.174,1,NA
0,25,429,40,7.388,1,0
0,25,450,30,17.968,1,0
0,26,343,40,10.406,1,0
0,30,390,40,14.958,0,1
0,29,405,30,17.204,1,1
0,29,431,70,19.37,1,1
0,29,449,40,2.487,1,0
0,25,379,50,8.186,0,0
0,29,447,20,17.12,1,0
0,26,300,50,12.039,1,1
0,28,416,30,11.516,0,1
0,29,370,30,14.236,0,1
0,26,526,30,13.386,1,0
0,28,432,40,9.717,0,0
0,27,438,50,10.767,0,0
0,29,328,20,19.417,1,0
0,27,507,40,15.605,1,1
0,27,321,20,4.136,0,0
0,28,374,40,6.157,1,NA
0,26,338,40,6.264,1,1
1,28,368,30,12.14,1,NA
0,26,450,40,1.444,1,0
0,26,505,40,6.847,1,0
0,30,511,20,12.763,1,0
0,25,522,50,10.239,0,0
0,26,458,20,3.144,0,NA
0,29,488,20,19.333,1,1
1,26,453,40,4.256,1,1
0,29,540,20,3.322,1,NA
0,28,460,30,4.903,1,1
0,28,443,20,0.147,0,0
1,27,480,20,13.079,0,0
0,27,329,40,12.417,1,0
0,29,473,20,13.181,0,0
0,27,510,40,7.275,1,0
1,26,322,50,5.553,0,1
0,27,525,40,13.791,1,0
0,26,433,40,10.548,1,0
0,28,391,40,13.991,0,0
0,27,401,30,16.842,0,0
0,29,504,20,16.445,0,0
0,30,548,50,10.182,1,0
0,25,398,30,8.98,0,0
0,29,423,40,19.488,1,0
0,26,415,40,4.413,1,0
0,29,385,20,18.611,1,1
0,28,328,40,10.489,1,0
1,28,402,40,12.587,0,NA
0,26,329,50,17.655,1,1
0,28,512,40,12.622,1,1
0,27,422,40,18.746,1,1
0,29,466,30,2.634,0,0
0,26,341,30,1.119,1,1
0,27,335,50,0.213,0,0
0,25,372,20,13.744,0,0
0,28,417,40,17.772,1,0
0,27,445,50,16.556,1,0
0,27,498,20,16.515,1,0
0,27,437,20,14.067,0,1
1,28,465,20,14.905,0,0
0,26,406,60,13.583,1,1
0,28,438,30,1.263,1,0
0,28,348,40,14.525,0,1
0,27,448,50,10.142,0,1
0,28,351,40,18.13,1,1
0,29,542,50,11.231,1,0
1,27,360,40,18.719,0,1
0,28,360,40,0.477,0,1
0,29,379,30,19.638,1,0
0,28,318,50,16.457,0,0
0,26,544,20,16.896,1,1
1,29,352,50,8.258,1,0
0,29,443,50,18.607,0,0
0,26,473,50,13.134,0,1
0,28,302,40,18.171,0,0
0,29,408,30,6.112,1,0
0,28,375,30,12.435,0,1
0,27,450,40,10.091,1,1
0,30,486,20,16.257,1,0
0,28,343,40,5.399,0,0
0,27,409,50,19.019,1,0
0,28,459,50,19.688,1,0
0,27,445,30,9.501,1,1
1,30,424,30,7.654,1,0
0,25,398,40,16.989,1,0
0,30,525,60,0.748,1,0
0,25,343,40,15.669,1,0
0,27,318,50,10.966,0,0
0,29,368,40,14.815,1,1
0,26,402,40,8.027,0,NA
1,26,499,40,13.163,1,1
0,26,441,30,10.82,0,1
0,25,421,50,0.482,0,0
0,26,419,50,19.391,1,0
0,28,461,50,5.545,0,NA
0,26,432,50,0.475,1,0
0,29,491,40,15.391,1,0
1,26,372,30,13.793,0,0
0,26,315,30,18.786,0,1
0,26,324,50,18.731,1,0
1,25,404,40,18.995,1,1
0,26,497,30,5.453,0,1
0,27,356,50,4.126,0,0
0,25,485,20,12.32,0,0
0,25,346,60,14.287,1,1
0,27,360,60,2.412,0,1
0,30,537,40,5.688,0,0
0,25,451,40,0.981,0,0
0,26,513,40,3.297,0,0
0,29,306,50,11.958,0,1
0,27,466,40,19.384,0,1
0,30,510,20,13.833,0,0
1,26,470,30,19.703,1,0
0,28,403,40,13.028,1,1
1,28,357,60,14.435,1,0
1,29,465,40,14.18,1,0
0,26,398,40,18.971,1,1
0,29,505,50,18.279,1,0
0,27,313,20,10.193,1,1
0,27,464,20,10.522,1,0
0,25,512,20,13.165,1,0
0,28,363,20,18.63,1,0
0,26,426,30,9.995,0,0
0,27,512,50,7.456,1,0
0,29,488,50,10.741,0,0
0,26,399,20,2.15,1,0
0,28,361,40,15.965,0,0
0,28,528,50,16.805,1,1
0,28,440,40,19.607,0,0
0,27,388,40,1.799,0,1
0,28,514,50,15.912,1,0
0,27,372,40,16.969,1,1
0,30,465,50,7.467,1,1
0,25,472,50,19.608,0,1
0,27,458,50,19.011,1,0
0,27,547,40,10.901,0,1
0,27,438,50,0.695,0,0
0,28,471,40,9.071,0,1
0,27,488,20,10.385,1,0
0,27,304,30,19.786,0,1
0,29,474,40,11.164,1,0
0,25,493,40,13.09,1,0
0,29,360,30,18.719,0,1
0,29,411,20,14.284,0,1
0,25,423,30,19.152,1,1
0,29,440,40,0.957,1,0
0,25,443,50,8.867,0,1
1,29,522,20,19.538,1,1
0,30,320,30,2.771,0,1
0,26,438,50,13.658,0,0
0,27,370,50,12.252,1,1
0,26,526,30,18.758,0,1
0,26,360,40,16.4,0,0
0,27,395,50,6.336,1,0
0,27,451,40,19.055,1,0
0,30,463,50,7.336,1,0
0,29,513,50,12.664,1,0
0,28,422,40,12.892,1,0
0,28,351,70,18.398,1,0
0,27,326,30,13.648,0,0
1,26,444,20,11.837,1,0
0,25,365,20,18.676,1,0
1,29,461,40,16.448,1,0
0,29,464,40,15.13,1,1
0,29,354,30,13.384,0,1
0,27,459,20,16.588,1,0
0,27,497,50,3.504,0,NA
0,29,437,20,2.3,0,1
1,27,446,40,17.859,1,0
0,27,405,20,13.875,0,1
0,27,357,50,17.509,0,1
0,26,417,50,12.108,1,0
0,25,384,50,16.193,0,0
0,28,530,40,11.602,1,0
0,28,537,60,19.34,0,0
0,28,492,50,18.397,0,1
0,30,471,40,10.733,1,1
0,26,499,30,10.679,0,0
0,28,307,20,19.288,1,0
0,28,414,40,19.805,1,0
0,28,458,40,2.865,1,1
0,28,439,60,17.88,0,0
0,26,392,40,14.824,1,0
0,25,479,30,12.169,0,0
0,27,484,30,7.067,1,1
0,29,431,40,15.612,1,0
0,26,395,30,18.137,0,1
0,26,332,40,3.107,1,0
0,27,365,30,10.141,1,0
0,30,464,40,11.889,1,0
0,28,413,30,11.229,1,0
1,26,396,20,13.234,1,0
0,26,392,40,6.157,0,0
0,25,525,50,15.849,1,0
0,29,494,60,17.685,1,1
0,28,411,40,16.738,1,0
0,29,544,50,1.495,0,0
0,27,387,50,14.615,1,1
0,26,547,20,13.024,1,0
0,27,425,30,19.325,1,NA
0,30,509,40,13.678,1,0
0,25,327,40,16.71,0,1
1,28,356,20,0.406,0,0
0,29,339,40,11.329,0,0
0,26,484,20,4.998,1,0
0,30,371,50,13.208,1,1
0,29,549,40,4.666,0,1
0,26,524,40,3.397,1,0
0,27,455,50,2.986,0,0
0,26,445,30,8.376,1,0
0,27,454,50,12.173,1,0
0,30,351,20,19.105,1,0
1,30,516,20,18.093,1,1
0,26,332,20,4.746,0,0
0,28,384,30,1.02,1,0
0,26,454,40,18.949,1,NA
0,30,337,30,6.758,1,0
0,28,538,30,10.757,1,0
0,28,366,40,5.623,0,0
0,27,392,40,0.305,1,0
0,28,405,20,6.307,1,0
0,27,543,50,14.89,1,0
0,29,307,20,7.295,1,0
0,29,498,40,0.807,1,0
1,25,514,20,0.092,1,1
0,25,528,20,11.563,1,1
0,28,477,50,17.723,1,1
0,29,367,40,0.82,1,0
0,26,315,20,17.094,0,0
0,28,548,30,9.76,1,0
0,26,517,40,1.724,1,NA
0,27,549,50,13.633,1,0
0,29,401,40,17.493,1,NA
0,27,539,50,13.825,1,0
0,27,307,50,15.838,0,1
0,27,541,50,10.915,1,0
0,25,412,50,1.116,0,0
0,27,416,50,18.557,0,1
0,29,522,50,7.414,0,0
1,25,491,30,6.423,1,0
0,25,375,40,17.401,0,0
0,26,337,20,14.536,0,0
0,27,516,40,18.186,0,0
1,26,492,20,7.638,1,1
1,29,475,40,18.428,0,0
0,26,461,20,15.89,1,1
0,26,424,50,5.227,1,0
0,29,492,30,17.36,1,0
0,26,468,40,12.679,1,1
0,26,382,40,8.987,0,1
0,28,451,20,18.175,0,1
0,27,490,40,11.241,1,0
0,29,404,40,14.152,1,0
0,28,478,20,19.941,0,0
1,29,420,60,12.577,0,0
0,26,537,50,5.539,0,0
1,27,354,20,12.436,1,0
0,25,313,30,12.375,1,0
0,25,482,20,4.022,0,0
0,29,467,30,3.677,1,0
0,25,306,40,15.48,1,0
0,30,523,40,17.598,1,0
0,26,360,20,0.861,1,1
0,29,301,20,13.991,1,1
0,27,439,50,0.617,0,0
0,29,472,50,1.671,1,0
0,28,457,30,8.169,0,1
0,30,389,40,10.263,0,0
0,27,426,20,18.547,1,0
0,28,305,40,18.77,1,NA
0,27,438,20,14.081,1,0
0,28,435,30,1.838,0,0
0,27,309,40,9.227,0,1
0,26,523,40,8.496,0,NA
0,27,529,50,19.639,0,0
0,28,471,60,13.203,0,NA
0,29,458,30,1.698,0,NA
1,25,467,50,14.617,1,0
0,26,328,50,15.184,1,1
0,29,504,60,13.039,0,0
0,27,519,30,12.785,1,0
0,29,530,50,11.566,1,0
0,27,351,20,10.111,1,0
0,28,379,20,16.391,0,0
0,29,518,40,12.945,1,0
